,Teams,Year,TotalViewers,TotalCount,MeanViewers,bins
1250,TCU,2020,51854000,29,1788068,2
1251,TCU,2021,42443999,27,1571999,2
1252,TCU,2022,27074999,23,1177173,1
1253,TCU,2023,20261999,15,1350799,2
1254,Temple,2013,16496000,9,1832888,2
1255,Temple,2014,16496000,9,1832888,2
1256,Temple,2015,16496000,9,1832888,2
1257,Temple,2016,16496000,9,1832888,2
1258,Temple,2017,17622999,11,1602090,2
1259,Temple,2018,20623999,13,1586461,2
1260,Temple,2019,10444999,10,1044499,1
1261,Temple,2020,7260000,10,726000,1
1262,Temple,2021,3233000,6,538833,1
1263,Temple,2022,2425000,5,485000,1
1264,Temple,2023,1111000,1,1111000,1
1265,Tennessee,2013,68514665,19,3606035,3
1266,Tennessee,2014,68514665,19,3606035,3
1267,Tennessee,2015,68514665,19,3606035,3
1268,Tennessee,2016,68514665,19,3606035,3
1269,Tennessee,2017,74001999,18,4111222,3
1270,Tennessee,2018,81052999,19,4265947,4
1271,Tennessee,2019,71520000,18,3973333,3
1272,Tennessee,2020,51076000,15,3405066,3
1273,Tennessee,2021,40774999,13,3136538,3
1274,Tennessee,2022,43803999,14,3128857,3
1275,Tennessee,2023,31593999,10,3159399,3
1276,Texas,2013,53927998,24,2246999,2
1277,Texas,2014,53927998,24,2246999,2
1278,Texas,2015,53927998,24,2246999,2
1279,Texas,2016,53927998,24,2246999,2
1280,Texas,2017,67074998,26,2579807,2
1281,Texas,2018,75967998,27,2813629,3
1282,Texas,2019,100087999,30,3336266,3
1283,Texas,2020,102264999,29,3526379,3
1284,Texas,2021,99582000,27,3688222,3
1285,Texas,2022,78594000,25,3143760,3
1286,Texas,2023,48324000,17,2842588,3
1287,Texas A&M,2013,90334999,19,4754473,4
1288,Texas A&M,2014,90334999,19,4754473,4
1289,Texas A&M,2015,90334999,19,4754473,4
1290,Texas A&M,2016,90334999,19,4754473,4
1291,Texas A&M,2017,65903999,16,4118999,3
1292,Texas A&M,2018,59442000,17,3496588,3
1293,Texas A&M,2019,67262000,21,3202952,3
1294,Texas A&M,2020,63173000,20,3158650,3
1295,Texas A&M,2021,61675000,19,3246052,3
1296,Texas A&M,2022,66284000,17,3899058,4
1297,Texas A&M,2023,43524000,12,3627000,3
1298,Texas State,2013,436000,1,436000,1
1299,Texas State,2014,436000,1,436000,1
1300,Texas State,2015,436000,1,436000,1
1301,Texas State,2016,436000,1,436000,1
1302,Texas State,2017,664000,2,332000,1
1303,Texas State,2018,228000,1,228000,1
1304,Texas State,2019,228000,1,228000,1
1305,Texas State,2020,0,0,0,1
1306,Texas State,2021,2422000,3,807333,1
1307,Texas State,2022,2422000,3,807333,1
1308,Texas State,2023,2422000,3,807333,1
1309,Texas Tech,2013,37702000,25,1508080,2
1310,Texas Tech,2014,37702000,25,1508080,2
1311,Texas Tech,2015,37702000,25,1508080,2
1312,Texas Tech,2016,37702000,25,1508080,2
1313,Texas Tech,2017,30423000,25,1216920,1
1314,Texas Tech,2018,28897000,24,1204041,1
1315,Texas Tech,2019,30754000,25,1230160,1
1316,Texas Tech,2020,32049000,25,1281960,1
1317,Texas Tech,2021,34895000,27,1292407,1
1318,Texas Tech,2022,30713000,26,1181269,1
1319,Texas Tech,2023,20304000,17,1194352,1
1320,Toledo,2013,2874000,4,718500,1
1321,Toledo,2014,2874000,4,718500,1
1322,Toledo,2015,2874000,4,718500,1
1323,Toledo,2016,2874000,4,718500,1
1324,Toledo,2017,4758000,8,594750,1
1325,Toledo,2018,4095000,8,511875,1
1326,Toledo,2019,3468000,7,495428,1
1327,Toledo,2020,1769000,4,442250,1
1328,Toledo,2021,1368000,3,456000,1
1329,Toledo,2022,1087000,3,362333,1
1330,Toledo,2023,902000,2,451000,1
1331,Troy,2013,0,0,0,1
1332,Troy,2014,0,0,0,1
1333,Troy,2015,0,0,0,1
1334,Troy,2016,0,0,0,1
1335,Troy,2017,269000,1,269000,1
1336,Troy,2018,494000,2,247000,1
1337,Troy,2019,494000,2,247000,1
1338,Troy,2020,673000,2,336500,1
1339,Troy,2021,1885000,3,628333,1
1340,Troy,2022,2175000,4,543750,1
1341,Troy,2023,1727000,3,575666,1
1342,Tulane,2013,981000,3,327000,1
1343,Tulane,2014,981000,3,327000,1
1344,Tulane,2015,981000,3,327000,1
1345,Tulane,2016,981000,3,327000,1
1346,Tulane,2017,857000,2,428500,1
1347,Tulane,2018,284000,1,284000,1
1348,Tulane,2019,1400000,3,466666,1
1349,Tulane,2020,3385000,6,564166,1
1350,Tulane,2021,7263000,12,605250,1
1351,Tulane,2022,10459000,15,697266,1
1352,Tulane,2023,8474000,12,706166,1
1353,Tulsa,2013,4199000,7,599857,1
1354,Tulsa,2014,4199000,7,599857,1
1355,Tulsa,2015,4199000,7,599857,1
1356,Tulsa,2016,4199000,7,599857,1
1357,Tulsa,2017,8028000,7,1146857,1
1358,Tulsa,2018,9125000,10,912500,1
1359,Tulsa,2019,9701000,11,881909,1
1360,Tulsa,2020,6626000,10,662600,1
1361,Tulsa,2021,10543000,13,811000,1
1362,Tulsa,2022,12382000,16,773875,1
1363,Tulsa,2023,10051000,13,773153,1
1364,UAB,2013,79000,1,79000,1
1365,UAB,2014,79000,1,79000,1
1366,UAB,2015,79000,1,79000,1
1367,UAB,2016,79000,1,79000,1
1368,UAB,2017,0,0,0,1
1369,UAB,2018,0,0,0,1
1370,UAB,2019,722000,1,722000,1
1371,UAB,2020,722000,1,722000,1
1372,UAB,2021,1219000,2,609500,1
1373,UAB,2022,2456000,3,818666,1
1374,UAB,2023,2456000,3,818666,1
1375,UCF,2013,14850000,14,1060714,1
1376,UCF,2014,14850000,14,1060714,1
1377,UCF,2015,14850000,14,1060714,1
1378,UCF,2016,14850000,14,1060714,1
1379,UCF,2017,9670000,10,967000,1
1380,UCF,2018,13158000,9,1462000,2
1381,UCF,2019,23467000,13,1805153,2
1382,UCF,2020,30036000,21,1430285,2
1383,UCF,2021,29747000,23,1293347,1
1384,UCF,2022,23830000,21,1134761,1
1385,UCF,2023,14398000,12,1199833,1
1386,UCLA,2013,56455999,27,2090962,2
1387,UCLA,2014,56455999,27,2090962,2
1388,UCLA,2015,56455999,27,2090962,2
1389,UCLA,2016,56455999,27,2090962,2
1390,UCLA,2017,52917998,28,1889928,2
1391,UCLA,2018,46017998,26,1769923,2
1392,UCLA,2019,42115998,26,1619846,2
1393,UCLA,2020,36402999,23,1582739,2
1394,UCLA,2021,25778000,21,1227523,1
1395,UCLA,2022,27556000,21,1312190,2
1396,UCLA,2023,17707000,14,1264785,2
1397,UNLV,2013,1313000,2,656500,1
1398,UNLV,2014,1313000,2,656500,1
1399,UNLV,2015,1313000,2,656500,1
1400,UNLV,2016,1313000,2,656500,1
1401,UNLV,2017,2076000,3,692000,1
1402,UNLV,2018,2349000,5,469800,1
1403,UNLV,2019,2406000,5,481200,1
1404,UNLV,2020,1643000,4,410750,1
1405,UNLV,2021,708000,2,354000,1
1406,UNLV,2022,700000,2,350000,1
1407,UNLV,2023,700000,2,350000,1
1408,USC,2013,70553000,29,2432862,2
1409,USC,2014,70553000,29,2432862,2
1410,USC,2015,70553000,29,2432862,2
1411,USC,2016,70553000,29,2432862,2
1412,USC,2017,81987000,31,2644741,2
1413,USC,2018,88415000,32,2762968,3
1414,USC,2019,89087000,31,2873774,3
1415,USC,2020,79186999,31,2554419,2
1416,USC,2021,57181999,24,2382583,2
1417,USC,2022,42207999,23,1835130,2
1418,USC,2023,23034000,13,1771846,2
1419,UTEP,2013,2067000,5,413400,1
1420,UTEP,2014,2067000,5,413400,1
1421,UTEP,2015,2067000,5,413400,1
1422,UTEP,2016,2067000,5,413400,1
1423,UTEP,2017,799000,3,266333,1
1424,UTEP,2018,1111000,1,1111000,1
1425,UTEP,2019,1111000,1,1111000,1
1426,UTEP,2020,1111000,1,1111000,1
1427,UTEP,2021,129000,1,129000,1
1428,UTEP,2022,888000,3,296000,1
1429,UTEP,2023,888000,3,296000,1
1430,UTSA,2013,1326000,3,442000,1
1431,UTSA,2014,1326000,3,442000,1
1432,UTSA,2015,1326000,3,442000,1
1433,UTSA,2016,1326000,3,442000,1
1434,UTSA,2017,2046000,4,511500,1
1435,UTSA,2018,1621000,3,540333,1
1436,UTSA,2019,954000,2,477000,1
1437,UTSA,2020,234000,1,234000,1
1438,UTSA,2021,1275000,4,318750,1
1439,UTSA,2022,1453000,4,363250,1
1440,UTSA,2023,1453000,4,363250,1
1441,Utah,2013,30177999,19,1588315,2
1442,Utah,2014,30177999,19,1588315,2
1443,Utah,2015,30177999,19,1588315,2
1444,Utah,2016,30177999,19,1588315,2
1445,Utah,2017,36268999,21,1727095,2
1446,Utah,2018,36876000,25,1475040,2
1447,Utah,2019,26927999,22,1223999,1
1448,Utah,2020,33324999,23,1448913,2
1449,Utah,2021,28850999,17,1697117,2
1450,Utah,2022,31375000,18,1743055,2
1451,Utah,2023,15577000,10,1557700,2
1452,Utah State,2013,5878000,9,653111,1
1453,Utah State,2014,5878000,9,653111,1
1454,Utah State,2015,5878000,9,653111,1
1455,Utah State,2016,5878000,9,653111,1
1456,Utah State,2017,5680000,10,568000,1
1457,Utah State,2018,5137000,8,642125,1
1458,Utah State,2019,4971000,8,621375,1
1459,Utah State,2020,4612000,6,768666,1
1460,Utah State,2021,4078000,7,582571,1
1461,Utah State,2022,3193000,7,456142,1
1462,Utah State,2023,2601000,6,433500,1
1463,Vanderbilt,2013,15309000,8,1913625,2
1464,Vanderbilt,2014,15309000,8,1913625,2
1465,Vanderbilt,2015,15309000,8,1913625,2
1466,Vanderbilt,2016,15309000,8,1913625,2
1467,Vanderbilt,2017,10828000,6,1804666,2
1468,Vanderbilt,2018,17464000,8,2183000,2
1469,Vanderbilt,2019,16370000,7,2338571,2
1470,Vanderbilt,2020,15421000,7,2203000,2
1471,Vanderbilt,2021,9675000,5,1935000,2
1472,Vanderbilt,2022,5516000,4,1379000,2
1473,Vanderbilt,2023,2466000,2,1233000,1
1474,Virginia,2013,24816000,10,2481600,2
1475,Virginia,2014,24816000,10,2481600,2
1476,Virginia,2015,24816000,10,2481600,2
1477,Virginia,2016,24816000,10,2481600,2
1478,Virginia,2017,21528000,10,2152800,2
1479,Virginia,2018,17935000,9,1992777,2
1480,Virginia,2019,14871000,9,1652333,2
1481,Virginia,2020,24613000,12,2051083,2
1482,Virginia,2021,17556000,8,2194500,2
1483,Virginia,2022,19102000,10,1910200,2
1484,Virginia,2023,7328000,5,1465600,2
1485,Virginia Tech,2013,45276999,16,2829812,2
1486,Virginia Tech,2014,45276999,16,2829812,2
1487,Virginia Tech,2015,45276999,16,2829812,2
1488,Virginia Tech,2016,45276999,16,2829812,2
1489,Virginia Tech,2017,49217999,17,2895176,3
1490,Virginia Tech,2018,48994999,17,2882058,3
1491,Virginia Tech,2019,48721000,18,2706722,3
1492,Virginia Tech,2020,39326000,16,2457875,2
1493,Virginia Tech,2021,27529000,12,2294083,2
1494,Virginia Tech,2022,16869000,10,1686900,2
1495,Virginia Tech,2023,8986000,6,1497666,2
1496,Wake Forest,2013,10951000,8,1368875,1
1497,Wake Forest,2014,10951000,8,1368875,1
1498,Wake Forest,2015,10951000,8,1368875,1
1499,Wake Forest,2016,10951000,8,1368875,1
1500,Wake Forest,2017,10547000,8,1318375,1
1501,Wake Forest,2018,14308000,10,1430800,2
1502,Wake Forest,2019,15272000,11,1388363,2
1503,Wake Forest,2020,15419000,11,1401727,2
1504,Wake Forest,2021,13218000,9,1468666,2
1505,Wake Forest,2022,13941000,10,1394100,2
1506,Wake Forest,2023,9771000,7,1395857,2
1507,Washington,2013,29679999,22,1349090,1
1508,Washington,2014,29679999,22,1349090,1
1509,Washington,2015,29679999,22,1349090,1
1510,Washington,2016,29679999,22,1349090,1
1511,Washington,2017,41541999,22,1888272,2
1512,Washington,2018,45677999,23,1985999,2
1513,Washington,2019,62281000,26,2395423,2
1514,Washington,2020,52797999,26,2030692,2
1515,Washington,2021,44810999,21,2133857,2
1516,Washington,2022,29770999,18,1653944,2
1517,Washington,2023,15730000,10,1573000,2
1518,Washington State,2013,20314000,16,1269625,1
1519,Washington State,2014,20314000,16,1269625,1
1520,Washington State,2015,20314000,16,1269625,1
1521,Washington State,2016,20314000,16,1269625,1
1522,Washington State,2017,24025999,17,1413294,1
1523,Washington State,2018,31569999,20,1578499,2
1524,Washington State,2019,37608999,21,1790904,2
1525,Washington State,2020,35994999,19,1894473,2
1526,Washington State,2021,25191999,14,1799428,2
1527,Washington State,2022,18099999,13,1392307,2
1528,Washington State,2023,9213000,8,1151625,1
1529,West Virginia,2013,28785000,22,1308409,1
1530,West Virginia,2014,28785000,22,1308409,1
1531,West Virginia,2015,28785000,22,1308409,1
1532,West Virginia,2016,28785000,22,1308409,1
1533,West Virginia,2017,29709999,24,1237916,1
1534,West Virginia,2018,34285999,24,1428583,2
1535,West Virginia,2019,48925999,26,1881769,2
1536,West Virginia,2020,49262000,26,1894692,2
1537,West Virginia,2021,45334000,27,1679037,2
1538,West Virginia,2022,33991000,26,1307346,2
1539,West Virginia,2023,21594000,17,1270235,2
1540,Western Kentucky,2013,1807000,5,361400,1
1541,Western Kentucky,2014,1807000,5,361400,1
1542,Western Kentucky,2015,1807000,5,361400,1
1543,Western Kentucky,2016,1807000,5,361400,1
1544,Western Kentucky,2017,4744000,6,790666,1
1545,Western Kentucky,2018,4281000,5,856200,1
1546,Western Kentucky,2019,4802000,3,1600666,2
1547,Western Kentucky,2020,1409000,1,1409000,2
1548,Western Kentucky,2021,2197000,2,1098500,1
1549,Western Kentucky,2022,788000,1,788000,1
1550,Western Kentucky,2023,788000,1,788000,1
1551,Western Michigan,2013,4386000,2,2193000,2
1552,Western Michigan,2014,4386000,2,2193000,2
1553,Western Michigan,2015,4386000,2,2193000,2
1554,Western Michigan,2016,4386000,2,2193000,2
1555,Western Michigan,2017,7217000,6,1202833,1
1556,Western Michigan,2018,7433000,7,1061857,1
1557,Western Michigan,2019,4317000,7,616714,1
1558,Western Michigan,2020,2036000,5,407200,1
1559,Western Michigan,2021,3024000,6,504000,1
1560,Western Michigan,2022,3805000,6,634166,1
1561,Western Michigan,2023,3255000,4,813750,1
1562,Wisconsin,2013,54192000,18,3010666,3
1563,Wisconsin,2014,54192000,18,3010666,3
1564,Wisconsin,2015,54192000,18,3010666,3
1565,Wisconsin,2016,54192000,18,3010666,3
1566,Wisconsin,2017,79627000,20,3981350,3
1567,Wisconsin,2018,97339000,23,4232130,4
1568,Wisconsin,2019,102560999,27,3798555,3
1569,Wisconsin,2020,94765999,25,3790639,3
1570,Wisconsin,2021,66047999,17,3885176,3
1571,Wisconsin,2022,72776000,17,4280941,4
1572,Wisconsin,2023,35666000,10,3566600,3
1573,Wyoming,2013,4833000,9,537000,1
1574,Wyoming,2014,4833000,9,537000,1
1575,Wyoming,2015,4833000,9,537000,1
1576,Wyoming,2016,4833000,9,537000,1
1577,Wyoming,2017,6442000,12,536833,1
1578,Wyoming,2018,4935000,10,493500,1
1579,Wyoming,2019,3648000,7,521142,1
1580,Wyoming,2020,2049000,3,683000,1
1581,Wyoming,2021,1439000,2,719500,1
1582,Wyoming,2022,1893000,3,631000,1
1583,Wyoming,2023,713000,2,356500,1
